AccountID,BillingID,BillingDate,MRR_Amount,SubscriptionTier,AddonUsageSpend
ACC-2396,INV-B2B-802689,2025-01-26,399.0,Starter Cloud,350
ACC-2116,INV-B2B-800779,2025-01-26,74.0,Starter Cloud,25
ACC-2017,INV-B2B-800112,2025-01-27,549.0,Professional Platform,50
ACC-2198,INV-B2B-801319,2025-01-27,349.0,Growth Suite,150
ACC-2281,INV-B2B-801899,2025-01-27,199.0,Growth Suite,0
ACC-2307,INV-B2B-802108,2025-01-27,549.0,Growth Suite,350
ACC-2378,INV-B2B-802577,2025-01-28,349.0,Growth Suite,150
ACC-2247,INV-B2B-801669,2025-01-28,499.0,Professional Platform,0
ACC-2304,INV-B2B-802078,2025-01-29,849.0,Professional Platform,350
ACC-2277,INV-B2B-801864,2025-01-29,49.0,Starter Cloud,0
ACC-2240,INV-B2B-801608,2025-01-29,849.0,Professional Platform,350
ACC-2366,INV-B2B-802471,2025-01-30,524.0,Professional Platform,25
ACC-2058,INV-B2B-800367,2025-01-30,524.0,Professional Platform,25
ACC-2320,INV-B2B-802197,2025-01-30,249.0,Growth Suite,50
ACC-2381,INV-B2B-802609,2025-01-31,224.0,Growth Suite,25
ACC-2349,INV-B2B-802370,2025-01-31,649.0,Professional Platform,150
ACC-2333,INV-B2B-802269,2025-01-31,349.0,Growth Suite,150
ACC-2062,INV-B2B-800404,2025-01-31,349.0,Growth Suite,150
ACC-2245,INV-B2B-801646,2025-01-31,199.0,Growth Suite,0
ACC-2035,INV-B2B-800210,2025-02-01,399.0,Starter Cloud,350
ACC-2101,INV-B2B-800663,2025-02-01,549.0,Growth Suite,350
ACC-2246,INV-B2B-801658,2025-02-01,49.0,Starter Cloud,0
ACC-2027,INV-B2B-800169,2025-02-02,549.0,Growth Suite,350
ACC-2145,INV-B2B-800971,2025-02-02,499.0,Professional Platform,0
ACC-2008,INV-B2B-800055,2025-02-02,524.0,Professional Platform,25
ACC-2205,INV-B2B-801370,2025-02-03,524.0,Professional Platform,25
ACC-2303,INV-B2B-802067,2025-02-03,249.0,Growth Suite,50
ACC-2204,INV-B2B-801367,2025-02-03,199.0,Starter Cloud,150
ACC-2302,INV-B2B-802056,2025-02-03,49.0,Starter Cloud,0
ACC-2138,INV-B2B-800919,2025-02-03,849.0,Professional Platform,350
ACC-2244,INV-B2B-801633,2025-02-04,224.0,Growth Suite,25
ACC-2125,INV-B2B-800836,2025-02-05,549.0,Growth Suite,350
ACC-2275,INV-B2B-801846,2025-02-06,349.0,Growth Suite,150
ACC-2023,INV-B2B-800143,2025-02-08,649.0,Professional Platform,150
ACC-2358,INV-B2B-802414,2025-02-09,549.0,Growth Suite,350
ACC-2154,INV-B2B-801025,2025-02-10,199.0,Starter Cloud,150
ACC-2004,INV-B2B-800031,2025-02-11,74.0,Starter Cloud,25
ACC-2206,INV-B2B-801377,2025-02-11,1490.0,Enterprise Unlimited,0
ACC-2311,INV-B2B-802139,2025-02-13,74.0,Starter Cloud,25
ACC-2389,INV-B2B-802648,2025-02-13,349.0,Growth Suite,150
ACC-2387,INV-B2B-802635,2025-02-13,349.0,Growth Suite,150
ACC-2210,INV-B2B-801397,2025-02-13,549.0,Growth Suite,350
ACC-2398,INV-B2B-802694,2025-02-13,49.0,Starter Cloud,0
ACC-2250,INV-B2B-801684,2025-02-13,199.0,Starter Cloud,150
ACC-2185,INV-B2B-801239,2025-02-14,49.0,Starter Cloud,0
ACC-2139,INV-B2B-800927,2025-02-14,499.0,Professional Platform,0
ACC-2051,INV-B2B-800312,2025-02-14,49.0,Starter Cloud,0
ACC-2223,INV-B2B-801502,2025-02-14,399.0,Starter Cloud,350
ACC-2219,INV-B2B-801469,2025-02-14,74.0,Starter Cloud,25
ACC-2336,INV-B2B-802292,2025-02-14,74.0,Starter Cloud,25
ACC-2155,INV-B2B-801035,2025-02-14,74.0,Starter Cloud,25
ACC-2306,INV-B2B-802095,2025-02-15,224.0,Growth Suite,25
ACC-2238,INV-B2B-801589,2025-02-15,849.0,Professional Platform,350
ACC-2300,INV-B2B-802039,2025-02-15,849.0,Professional Platform,350
ACC-2137,INV-B2B-800907,2025-02-15,199.0,Growth Suite,0
ACC-2212,INV-B2B-801418,2025-02-15,199.0,Starter Cloud,150
ACC-2064,INV-B2B-800423,2025-02-16,224.0,Growth Suite,25
ACC-2380,INV-B2B-802597,2025-02-16,549.0,Growth Suite,350
ACC-2065,INV-B2B-800433,2025-02-16,249.0,Growth Suite,50
ACC-2072,INV-B2B-800483,2025-02-16,349.0,Growth Suite,150
ACC-2097,INV-B2B-800644,2025-02-16,74.0,Starter Cloud,25
ACC-2297,INV-B2B-802019,2025-02-17,399.0,Starter Cloud,350
ACC-2059,INV-B2B-800377,2025-02-17,549.0,Growth Suite,350
ACC-2115,INV-B2B-800766,2025-02-17,224.0,Growth Suite,25
ACC-2221,INV-B2B-801484,2025-02-17,199.0,Growth Suite,0
ACC-2346,INV-B2B-802349,2025-02-17,524.0,Professional Platform,25
ACC-2372,INV-B2B-802525,2025-02-18,399.0,Starter Cloud,350
ACC-2282,INV-B2B-801909,2025-02-18,74.0,Starter Cloud,25
ACC-2208,INV-B2B-801392,2025-02-18,249.0,Growth Suite,50
ACC-2086,INV-B2B-800566,2025-02-18,1840.0,Enterprise Unlimited,350
ACC-2295,INV-B2B-802004,2025-02-18,649.0,Professional Platform,150
ACC-2256,INV-B2B-801721,2025-02-18,499.0,Professional Platform,0
ACC-2368,INV-B2B-802489,2025-02-19,199.0,Growth Suite,0
ACC-2344,INV-B2B-802340,2025-02-19,49.0,Starter Cloud,0
ACC-2144,INV-B2B-800958,2025-02-19,99.0,Starter Cloud,50
ACC-2243,INV-B2B-801631,2025-02-19,549.0,Growth Suite,350
ACC-2108,INV-B2B-800712,2025-02-20,224.0,Growth Suite,25
ACC-2174,INV-B2B-801165,2025-02-20,74.0,Starter Cloud,25
ACC-2203,INV-B2B-801356,2025-02-20,649.0,Professional Platform,150
ACC-2343,INV-B2B-802334,2025-02-20,549.0,Professional Platform,50
ACC-2276,INV-B2B-801853,2025-02-20,549.0,Growth Suite,350
ACC-2111,INV-B2B-800732,2025-02-21,199.0,Growth Suite,0
ACC-2278,INV-B2B-801874,2025-02-21,549.0,Growth Suite,350
ACC-2211,INV-B2B-801407,2025-02-21,99.0,Starter Cloud,50
ACC-2214,INV-B2B-801429,2025-02-21,224.0,Growth Suite,25
ACC-2057,INV-B2B-800355,2025-02-21,49.0,Starter Cloud,0
ACC-2262,INV-B2B-801762,2025-02-21,549.0,Growth Suite,350
ACC-2084,INV-B2B-800557,2025-02-21,399.0,Starter Cloud,350
ACC-2022,INV-B2B-800141,2025-02-21,199.0,Starter Cloud,150
ACC-2131,INV-B2B-800869,2025-02-21,99.0,Starter Cloud,50
ACC-2110,INV-B2B-800726,2025-02-21,524.0,Professional Platform,25
ACC-2292,INV-B2B-801983,2025-02-22,549.0,Growth Suite,350
ACC-2263,INV-B2B-801771,2025-02-22,399.0,Starter Cloud,350
ACC-2049,INV-B2B-800297,2025-02-22,249.0,Growth Suite,50
ACC-2124,INV-B2B-800831,2025-02-23,74.0,Starter Cloud,25
ACC-2044,INV-B2B-800261,2025-02-23,49.0,Starter Cloud,0
ACC-2354,INV-B2B-802396,2025-02-23,499.0,Professional Platform,0
ACC-2093,INV-B2B-800612,2025-02-23,549.0,Professional Platform,50
ACC-2375,INV-B2B-802553,2025-02-24,224.0,Growth Suite,25
ACC-2018,INV-B2B-800113,2025-02-24,1640.0,Enterprise Unlimited,150
ACC-2228,INV-B2B-801540,2025-02-24,249.0,Growth Suite,50
ACC-2391,INV-B2B-802660,2025-02-24,549.0,Growth Suite,350
ACC-2369,INV-B2B-802499,2025-02-24,549.0,Growth Suite,350
ACC-2331,INV-B2B-802261,2025-02-24,199.0,Growth Suite,0
ACC-2116,INV-B2B-800778,2025-02-25,49.0,Starter Cloud,0
ACC-2095,INV-B2B-800630,2025-02-25,49.0,Starter Cloud,0
ACC-2396,INV-B2B-802688,2025-02-25,199.0,Starter Cloud,150
ACC-2082,INV-B2B-800545,2025-02-26,74.0,Starter Cloud,25
ACC-2017,INV-B2B-800111,2025-02-26,849.0,Professional Platform,350
ACC-2307,INV-B2B-802107,2025-02-26,224.0,Growth Suite,25
ACC-2281,INV-B2B-801898,2025-02-26,249.0,Growth Suite,50
ACC-2217,INV-B2B-801451,2025-02-26,849.0,Professional Platform,350
ACC-2382,INV-B2B-802618,2025-02-26,1490.0,Enterprise Unlimited,0
ACC-2286,INV-B2B-801937,2025-02-26,99.0,Starter Cloud,50
ACC-2378,INV-B2B-802576,2025-02-27,199.0,Growth Suite,0
ACC-2324,INV-B2B-802221,2025-02-27,549.0,Professional Platform,50
ACC-2158,INV-B2B-801058,2025-02-27,499.0,Professional Platform,0
ACC-2247,INV-B2B-801668,2025-02-27,499.0,Professional Platform,0
ACC-2285,INV-B2B-801927,2025-02-28,399.0,Starter Cloud,350
ACC-2304,INV-B2B-802077,2025-02-28,849.0,Professional Platform,350
ACC-2370,INV-B2B-802511,2025-02-28,99.0,Starter Cloud,50
ACC-2277,INV-B2B-801863,2025-02-28,199.0,Starter Cloud,150
ACC-2308,INV-B2B-802118,2025-02-28,249.0,Growth Suite,50
ACC-2240,INV-B2B-801607,2025-02-28,524.0,Professional Platform,25
ACC-2058,INV-B2B-800366,2025-03-01,549.0,Professional Platform,50
ACC-2379,INV-B2B-802587,2025-03-01,199.0,Starter Cloud,150
ACC-2320,INV-B2B-802196,2025-03-01,249.0,Growth Suite,50
ACC-2366,INV-B2B-802470,2025-03-01,499.0,Professional Platform,0
ACC-2374,INV-B2B-802543,2025-03-01,199.0,Growth Suite,0
ACC-2173,INV-B2B-801155,2025-03-01,224.0,Growth Suite,25
ACC-2191,INV-B2B-801278,2025-03-01,74.0,Starter Cloud,25
ACC-2266,INV-B2B-801791,2025-03-02,349.0,Growth Suite,150
ACC-2349,INV-B2B-802369,2025-03-02,499.0,Professional Platform,0
ACC-2339,INV-B2B-802306,2025-03-02,349.0,Growth Suite,150
ACC-2245,INV-B2B-801645,2025-03-02,249.0,Growth Suite,50
ACC-2019,INV-B2B-800120,2025-03-02,74.0,Starter Cloud,25
ACC-2381,INV-B2B-802608,2025-03-02,549.0,Growth Suite,350
ACC-2062,INV-B2B-800403,2025-03-02,249.0,Growth Suite,50
ACC-2333,INV-B2B-802268,2025-03-02,249.0,Growth Suite,50
ACC-2353,INV-B2B-802394,2025-03-02,49.0,Starter Cloud,0
ACC-2035,INV-B2B-800209,2025-03-03,99.0,Starter Cloud,50
ACC-2246,INV-B2B-801657,2025-03-03,99.0,Starter Cloud,50
ACC-2101,INV-B2B-800662,2025-03-03,224.0,Growth Suite,25
ACC-2150,INV-B2B-801006,2025-03-04,199.0,Starter Cloud,150
ACC-2145,INV-B2B-800970,2025-03-04,499.0,Professional Platform,0
ACC-2008,INV-B2B-800054,2025-03-04,549.0,Professional Platform,50
ACC-2279,INV-B2B-801880,2025-03-04,49.0,Starter Cloud,0
ACC-2027,INV-B2B-800168,2025-03-04,199.0,Growth Suite,0
ACC-2303,INV-B2B-802066,2025-03-05,199.0,Growth Suite,0
ACC-2205,INV-B2B-801369,2025-03-05,524.0,Professional Platform,25
ACC-2302,INV-B2B-802055,2025-03-05,199.0,Starter Cloud,150
ACC-2388,INV-B2B-802646,2025-03-05,349.0,Growth Suite,150
ACC-2168,INV-B2B-801117,2025-03-05,849.0,Professional Platform,350
ACC-2182,INV-B2B-801219,2025-03-05,49.0,Starter Cloud,0
ACC-2138,INV-B2B-800918,2025-03-05,524.0,Professional Platform,25
ACC-2204,INV-B2B-801366,2025-03-05,99.0,Starter Cloud,50
ACC-2267,INV-B2B-801800,2025-03-06,199.0,Growth Suite,0
ACC-2244,INV-B2B-801632,2025-03-06,549.0,Growth Suite,350
ACC-2148,INV-B2B-800997,2025-03-07,199.0,Growth Suite,0
ACC-2125,INV-B2B-800835,2025-03-07,549.0,Growth Suite,350
ACC-2011,INV-B2B-800075,2025-03-08,99.0,Starter Cloud,50
ACC-2249,INV-B2B-801683,2025-03-08,399.0,Starter Cloud,350
ACC-2083,INV-B2B-800547,2025-03-09,224.0,Growth Suite,25
ACC-2358,INV-B2B-802413,2025-03-11,249.0,Growth Suite,50
ACC-2154,INV-B2B-801024,2025-03-12,49.0,Starter Cloud,0
ACC-2122,INV-B2B-800818,2025-03-12,349.0,Growth Suite,150
ACC-2206,INV-B2B-801376,2025-03-13,1640.0,Enterprise Unlimited,150
ACC-2004,INV-B2B-800030,2025-03-13,399.0,Starter Cloud,350
ACC-2033,INV-B2B-800197,2025-03-14,649.0,Professional Platform,150
ACC-2265,INV-B2B-801785,2025-03-14,249.0,Growth Suite,50
ACC-2389,INV-B2B-802647,2025-03-15,199.0,Growth Suite,0
ACC-2398,INV-B2B-802693,2025-03-15,74.0,Starter Cloud,25
ACC-2311,INV-B2B-802138,2025-03-15,199.0,Starter Cloud,150
ACC-2387,INV-B2B-802634,2025-03-15,549.0,Growth Suite,350
ACC-2210,INV-B2B-801396,2025-03-15,549.0,Growth Suite,350
ACC-2185,INV-B2B-801238,2025-03-16,49.0,Starter Cloud,0
ACC-2336,INV-B2B-802291,2025-03-16,99.0,Starter Cloud,50
ACC-2289,INV-B2B-801960,2025-03-16,49.0,Starter Cloud,0
ACC-2219,INV-B2B-801468,2025-03-16,199.0,Starter Cloud,150
ACC-2274,INV-B2B-801845,2025-03-16,399.0,Starter Cloud,350
ACC-2155,INV-B2B-801034,2025-03-16,399.0,Starter Cloud,350
ACC-2051,INV-B2B-800311,2025-03-16,99.0,Starter Cloud,50
ACC-2139,INV-B2B-800926,2025-03-16,524.0,Professional Platform,25
ACC-2310,INV-B2B-802132,2025-03-16,349.0,Growth Suite,150
ACC-2223,INV-B2B-801501,2025-03-16,99.0,Starter Cloud,50
ACC-2326,INV-B2B-802232,2025-03-17,49.0,Starter Cloud,0
ACC-2010,INV-B2B-800069,2025-03-17,649.0,Professional Platform,150
ACC-2306,INV-B2B-802094,2025-03-17,199.0,Growth Suite,0
ACC-2137,INV-B2B-800906,2025-03-17,249.0,Growth Suite,50
ACC-2213,INV-B2B-801423,2025-03-17,99.0,Starter Cloud,50
ACC-2212,INV-B2B-801417,2025-03-17,199.0,Starter Cloud,150
ACC-2215,INV-B2B-801437,2025-03-17,199.0,Starter Cloud,150
ACC-2238,INV-B2B-801588,2025-03-17,649.0,Professional Platform,150
ACC-2300,INV-B2B-802038,2025-03-17,549.0,Professional Platform,50
ACC-2065,INV-B2B-800432,2025-03-18,199.0,Growth Suite,0
ACC-2064,INV-B2B-800422,2025-03-18,224.0,Growth Suite,25
ACC-2097,INV-B2B-800643,2025-03-18,199.0,Starter Cloud,150
ACC-2380,INV-B2B-802596,2025-03-18,249.0,Growth Suite,50
ACC-2181,INV-B2B-801209,2025-03-18,199.0,Growth Suite,0
ACC-2373,INV-B2B-802534,2025-03-18,224.0,Growth Suite,25
ACC-2072,INV-B2B-800482,2025-03-18,349.0,Growth Suite,150
ACC-2346,INV-B2B-802348,2025-03-19,524.0,Professional Platform,25
ACC-2359,INV-B2B-802423,2025-03-19,549.0,Professional Platform,50
ACC-2059,INV-B2B-800376,2025-03-19,224.0,Growth Suite,25
ACC-2297,INV-B2B-802018,2025-03-19,49.0,Starter Cloud,0
ACC-2115,INV-B2B-800765,2025-03-19,349.0,Growth Suite,150
ACC-2220,INV-B2B-801474,2025-03-19,199.0,Growth Suite,0
ACC-2106,INV-B2B-800698,2025-03-19,49.0,Starter Cloud,0
ACC-2221,INV-B2B-801483,2025-03-19,224.0,Growth Suite,25
ACC-2372,INV-B2B-802524,2025-03-20,74.0,Starter Cloud,25
ACC-2295,INV-B2B-802003,2025-03-20,549.0,Professional Platform,50
ACC-2319,INV-B2B-802190,2025-03-20,1515.0,Enterprise Unlimited,25
ACC-2208,INV-B2B-801391,2025-03-20,224.0,Growth Suite,25
ACC-2282,INV-B2B-801908,2025-03-20,49.0,Starter Cloud,0
ACC-2256,INV-B2B-801720,2025-03-20,549.0,Professional Platform,50
ACC-2163,INV-B2B-801088,2025-03-20,99.0,Starter Cloud,50
ACC-2086,INV-B2B-800565,2025-03-20,1640.0,Enterprise Unlimited,150
ACC-2344,INV-B2B-802339,2025-03-21,49.0,Starter Cloud,0
ACC-2144,INV-B2B-800957,2025-03-21,399.0,Starter Cloud,350
ACC-2368,INV-B2B-802488,2025-03-21,349.0,Growth Suite,150
ACC-2194,INV-B2B-801295,2025-03-21,1840.0,Enterprise Unlimited,350
ACC-2076,INV-B2B-800507,2025-03-21,349.0,Growth Suite,150
ACC-2243,INV-B2B-801630,2025-03-21,249.0,Growth Suite,50
ACC-2174,INV-B2B-801164,2025-03-22,99.0,Starter Cloud,50
ACC-2352,INV-B2B-802384,2025-03-22,199.0,Starter Cloud,150
ACC-2225,INV-B2B-801519,2025-03-22,99.0,Starter Cloud,50
ACC-2203,INV-B2B-801355,2025-03-22,849.0,Professional Platform,350
ACC-2276,INV-B2B-801852,2025-03-22,249.0,Growth Suite,50
ACC-2108,INV-B2B-800711,2025-03-22,224.0,Growth Suite,25
ACC-2343,INV-B2B-802333,2025-03-22,549.0,Professional Platform,50
ACC-2102,INV-B2B-800672,2025-03-22,49.0,Starter Cloud,0
ACC-2087,INV-B2B-800574,2025-03-22,349.0,Growth Suite,150
ACC-2338,INV-B2B-802303,2025-03-22,224.0,Growth Suite,25
ACC-2084,INV-B2B-800556,2025-03-23,199.0,Starter Cloud,150
ACC-2057,INV-B2B-800354,2025-03-23,49.0,Starter Cloud,0
ACC-2278,INV-B2B-801873,2025-03-23,199.0,Growth Suite,0
ACC-2214,INV-B2B-801428,2025-03-23,349.0,Growth Suite,150
ACC-2262,INV-B2B-801761,2025-03-23,199.0,Growth Suite,0
ACC-2111,INV-B2B-800731,2025-03-23,549.0,Growth Suite,350
ACC-2316,INV-B2B-802170,2025-03-23,74.0,Starter Cloud,25
ACC-2211,INV-B2B-801406,2025-03-23,99.0,Starter Cloud,50
ACC-2172,INV-B2B-801146,2025-03-23,524.0,Professional Platform,25
ACC-2110,INV-B2B-800725,2025-03-23,649.0,Professional Platform,150
ACC-2022,INV-B2B-800140,2025-03-23,399.0,Starter Cloud,350
ACC-2292,INV-B2B-801982,2025-03-24,349.0,Growth Suite,150
ACC-2050,INV-B2B-800302,2025-03-24,249.0,Growth Suite,50
ACC-2049,INV-B2B-800296,2025-03-24,249.0,Growth Suite,50
ACC-2283,INV-B2B-801917,2025-03-24,349.0,Growth Suite,150
ACC-2003,INV-B2B-800029,2025-03-24,99.0,Starter Cloud,50
ACC-2263,INV-B2B-801770,2025-03-24,99.0,Starter Cloud,50
ACC-2113,INV-B2B-800749,2025-03-24,524.0,Professional Platform,25
ACC-2301,INV-B2B-802049,2025-03-24,349.0,Growth Suite,150
ACC-2093,INV-B2B-800611,2025-03-25,499.0,Professional Platform,0
ACC-2124,INV-B2B-800830,2025-03-25,74.0,Starter Cloud,25
ACC-2175,INV-B2B-801175,2025-03-25,224.0,Growth Suite,25
ACC-2128,INV-B2B-800858,2025-03-25,349.0,Growth Suite,150
ACC-2354,INV-B2B-802395,2025-03-25,499.0,Professional Platform,0
ACC-2044,INV-B2B-800260,2025-03-25,74.0,Starter Cloud,25
ACC-2331,INV-B2B-802260,2025-03-26,224.0,Growth Suite,25
ACC-2375,INV-B2B-802552,2025-03-26,349.0,Growth Suite,150
ACC-2228,INV-B2B-801539,2025-03-26,199.0,Growth Suite,0
ACC-2133,INV-B2B-800885,2025-03-26,224.0,Growth Suite,25
ACC-2377,INV-B2B-802566,2025-03-26,74.0,Starter Cloud,25
ACC-2391,INV-B2B-802659,2025-03-26,199.0,Growth Suite,0
ACC-2369,INV-B2B-802498,2025-03-26,224.0,Growth Suite,25
ACC-2095,INV-B2B-800629,2025-03-27,199.0,Starter Cloud,150
ACC-2362,INV-B2B-802445,2025-03-27,99.0,Starter Cloud,50
ACC-2118,INV-B2B-800792,2025-03-27,49.0,Starter Cloud,0
ACC-2090,INV-B2B-800590,2025-03-27,549.0,Growth Suite,350
ACC-2170,INV-B2B-801133,2025-03-27,99.0,Starter Cloud,50
ACC-2396,INV-B2B-802687,2025-03-27,99.0,Starter Cloud,50
ACC-2116,INV-B2B-800777,2025-03-27,399.0,Starter Cloud,350
ACC-2026,INV-B2B-800158,2025-03-27,74.0,Starter Cloud,25
ACC-2217,INV-B2B-801450,2025-03-28,649.0,Professional Platform,150
ACC-2017,INV-B2B-800110,2025-03-28,499.0,Professional Platform,0
ACC-2281,INV-B2B-801897,2025-03-28,349.0,Growth Suite,150
ACC-2382,INV-B2B-802617,2025-03-28,1540.0,Enterprise Unlimited,50
ACC-2000,INV-B2B-800009,2025-03-28,549.0,Growth Suite,350
ACC-2082,INV-B2B-800544,2025-03-28,74.0,Starter Cloud,25
ACC-2119,INV-B2B-800800,2025-03-28,224.0,Growth Suite,25
ACC-2307,INV-B2B-802106,2025-03-28,224.0,Growth Suite,25
ACC-2327,INV-B2B-802235,2025-03-28,649.0,Professional Platform,150
ACC-2286,INV-B2B-801936,2025-03-28,49.0,Starter Cloud,0
ACC-2247,INV-B2B-801667,2025-03-29,649.0,Professional Platform,150
ACC-2324,INV-B2B-802220,2025-03-29,524.0,Professional Platform,25
ACC-2355,INV-B2B-802401,2025-03-29,224.0,Growth Suite,25
ACC-2158,INV-B2B-801057,2025-03-29,499.0,Professional Platform,0
ACC-2378,INV-B2B-802575,2025-03-29,249.0,Growth Suite,50
ACC-2308,INV-B2B-802117,2025-03-30,549.0,Growth Suite,350
ACC-2304,INV-B2B-802076,2025-03-30,649.0,Professional Platform,150
ACC-2370,INV-B2B-802510,2025-03-30,99.0,Starter Cloud,50
ACC-2240,INV-B2B-801606,2025-03-30,499.0,Professional Platform,0
ACC-2277,INV-B2B-801862,2025-03-30,399.0,Starter Cloud,350
ACC-2285,INV-B2B-801926,2025-03-30,74.0,Starter Cloud,25
ACC-2058,INV-B2B-800365,2025-03-31,849.0,Professional Platform,350
ACC-2366,INV-B2B-802469,2025-03-31,849.0,Professional Platform,350
ACC-2191,INV-B2B-801277,2025-03-31,99.0,Starter Cloud,50
ACC-2374,INV-B2B-802542,2025-03-31,549.0,Growth Suite,350
ACC-2173,INV-B2B-801154,2025-03-31,349.0,Growth Suite,150
ACC-2320,INV-B2B-802195,2025-03-31,349.0,Growth Suite,150
ACC-2042,INV-B2B-800243,2025-03-31,549.0,Growth Suite,350
ACC-2379,INV-B2B-802586,2025-03-31,74.0,Starter Cloud,25
ACC-2069,INV-B2B-800460,2025-03-31,1515.0,Enterprise Unlimited,25
ACC-2333,INV-B2B-802267,2025-04-01,549.0,Growth Suite,350
ACC-2062,INV-B2B-800402,2025-04-01,349.0,Growth Suite,150
ACC-2349,INV-B2B-802368,2025-04-01,524.0,Professional Platform,25
